일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
314,06-0060,2006.04.11,㈜이세정보 ,Lupin TMS v2.0,-,네트워크 관리,시스템관리 SW-네트워크 관리(NMS),"IP관리 기능을 기반으로 Port차단 및 세션의 제어를 통한 PC보안 기능, 윈도우의 취약점과 바이러스 감염을 보완하기 위한 보안패치와 바이러스 백신 업데이트의 주기적이고 신속한 사전 설치로 보안사고의 사전예방을 하는PMS 기능, 에이전트에 의해 수집된 PC의 SW정보, HW정보 등의 자산관리기능, IPS(침입방지시스템)의 취약점인 네트웍 내부보안을 보완하기 위한 IPS통합기능, 급격한 추세로 증가하고 있는 무선랜 사용자에 대한 보안을 위한 인증서버기능 등 이러한 모든 기능을 통합하여 네트웍 자원의 무결성 및 완전한 가용성을 보장해 주는 에이전트 기반의 통합보안관리시스템입니다 ",,,,,"김지현, 김명규"
315,06-0061,2006.04.21,㈜디리아,CruzTP v1.0,1등급,GS-05-307,미들웨어 SW-기타,"크루즈티피(CruzTPTM)는 다수의 클라이언트 요청에 대해 효과적인 분산 트랜잭션 처리하고 Mission Critical한 기간 업무를 완벽하게 수행하는 TP-Monitor 미들웨어 CruzTPTM는 국제규약인 X/OPEN 그룹의 DTP(Distributed Transaction Processing) 표준을 준수하여, 타 TP-Monitor 제품과의 완벽한 호환성을 보장하며, 뛰어난 처리 알고리즘으로 탁월한 속도와 안정성을 보장합니다.",,,,,"김기두, 박정환, 김종선"
316,06-0062,2006.04.21,㈜위니텍,WinECCS(위넥스) v3.3,-,GS-06-024,임베디드 SW-기타,위니텍의 통합재난관제솔루션은 크게 3부분으로 구분됩니다. 긴급신고접수를 받는 긴급신고처리솔루션부터 시작하여 출동지령과 긴급상황을 관제하는 지령관제솔루션 그리고 이들 솔루션에 기본적인 정보를 제공하는 관제업무지원솔루션으로 구분할 수 있습니다.,,,,,"배정현, 남재희"
317,07-0020 (06-0063),2006.04.21 ,"한국리눅스센터㈜
(구: 아이겟리눅스㈜)",아이겟리눅스 데스크탑 딛고2005,-,GS-06-088,운영체제 SW-리눅스 운영체제,"아이겟리눅스 딛고 2005는 아이겟리눅스(주)가 ETRI, 삼성전자, 포스테이타, 와우리눅스, 한소프트와 공동 개발한 부요리눅스를 기반으로 개발한 데스크탑용 리눅스 운영체제이다.",,,,,"정도균, 박진홍, 김현정, 전형율, 김기두, 김명규"
318,"07-0187
(06-0064)",2006.04.21,"휴먼드림㈜
(구:㈜지팟)",지팟 디지탈북 v3.0(Zipot Digital Book v3.0),-,GS-06-125,디지털콘텐츠 SW-전자출판,"Zipot Digital Book 3.0은 디지털 북의 웹 출판을 위하여 필요한 이미지 편집, 사용자 네비게이션을 위한 웹 링크 작성, 사용자의 편이성을 높이기 위한 멀티 레벨 줌 기능을 구현하는 “e-Book Publishing Solution” 입니다",,,,,"김기두, 손한일"
319,06-0065,2006.05.04,㈜아라기술,ARA - Traffic Sentinel v1.0,-,GS-05-317,시스템관리 SW-네트워크 관리(NMS),"ARA - Traffic Sentinel v1.0'은 웹사이트, P2P 프로그램, 인터넷 메신저에 대한 인터넷 접속을 통제하고, 네트워크 트래픽을 모니터링하는 프로그램이다 ",,,,,임성준
320,06-0066,2006.05.04,와이즈소프트㈜,WYZEKP 3.0,-,GS-05-324,기업용 SW-지식관리(KMS),"조직이나 기업의 지식자원을 효율적으로 관리하고 가치를 극대화하기 위한 솔루션으로서 기업내・외에 산재한 다양한 지식과 커뮤니케이션, 협업등의 정보들을 웹을 통해 통합, 관리할 수 있는 핵심솔루션입니다",,,,,차순일
321,06-0067,2006.05.04,㈜모니터랩,Web Insight™ v2.0,-,GS-05-345,보안용 SW-웹보안,Positive security model기반의 WEB INSIGHT™는 공격패턴에 의존하는 기존의 Signature-based장비들과는 달리 강력한 Stream Inspection에 의해 모든 웹트래픽들을 검사한 후 정상적인 트래픽들만을 웹서버로 전달하여 기업의 중요 웹 애플리케이션을 보호하기 위해 개발된 제품 ,,,,,유재현
322,07-0080 (06-0068),2006.05.12 ,"크리니티㈜
(구:쓰리알소프트㈜)",Crinity v3.0 ,-,GS-05-240,웹서비스용 SW-웹메일,"Pure Java 기반으로 구성되어 JVM이 지원되는 모든 OS에서 운용이 가능한 메세징 솔루션이며, 자체 기술로 설계된 크리니티 프레임워크 하에서 SMTP/POP3/WebMail로 구성되어 있습니다.
다양한 레거시 시스템을 지원할 수 있으며, CBD 기반으로 설계/구현되어 다양한 구성과 로드밸런싱이 가능하여 안정적인 운용이 가능한 것이 특징이라 할 수 있습니다",,,,,"김기두, 신영민"
323,06-0069,2006.05.12,㈜데이콤,온넷21 v3.0,-,GS-05-254,기업용 SW-그룹웨어(Groupware),"기업의 업무효율화 경쟁력 향상을 위해 만들어진 협업 솔루션으로 전자메일, 전자결재를 중심으로 게시공지 프로젝트 관리 등 약20여 가지의 기능으로 구성되어 있습니다. 웹기반 솔루션으로 인터넷이 가능한 곳이면 어디서든 접속이 가능하며 데이콤 자체기술로 만들어져 고객관리까지 데이콤에서 지원해드리고 있습니다.",,,,,"서연규, 남이현"
324,06-0070,2006.05.12,"네이버시스템㈜
(구: 한국아이엔지㈜)
(구: 한진정보통신㈜)",InfoMatrix Professional-도로 V1.0,-,GS-05-314,GIS SW-도로시설물관리,"InfoMatrix professional-도로v1.0는 도로시설물관리를 위한 컴포넌트기반 패키지 솔루션으로 기존 InfoMatrix-도로v1.0를 전문가적 입장에서 사용할 수 있도록 한층 업그레이드 시켰으며 조회시스템, 운영자시스템, 편집시스템으로 구성되어 있습니다.
 InfoMatrix professional-도로v1.0는 업무기반 GIS기능의 최적화, 사용자중심의 인터페이스를 통하여 도형정보 및 속성정보의 원활한 입출력을 제공하고 각종 통계자료추출 등을 통하여 시설물관리에 효율성을 제공합니다. 또한 시스템활용측면에서 설치가 용이하며, 운영속도가 빠르고 다양한 운영체제를 지원합니다. 컴포넌트기반 패키지를 통하여 향후 커스터마이징 및 추가개발 시 솔루션을 제공합니다.",,,,,"(박상욱), 서연규, 김선주, 남기현"
325,06-0071,2006.05.12,"네이버시스템㈜
(구: 한국아이엔지㈜)
(구: 한진정보통신㈜)",InfoMatrix Professional-상하수도 V1.0,-,GS-05-315,GIS SW-상하수도시설물관리,"InfoMatrix professional-상하수도 V1.0는 도로시설물관리를 위한 컴포넌트기반 패키지 솔루션으로 기존 InfoMatrix v1.0를 전문가적 입장에서 사용할 수 있도록 한층 업그레이드 시켰으며 조회시스템, 운영자시스템, 편집시스템으로 구성되어 있습니다.
 InfoMatrix professional-상하수도v1.0는 업무기반 GIS기능의 최적화, 사용자중심의 인터페이스를 통하여 도형정보 및 속성정보의 원활한 입출력을 제공하고 각종 통계자료추출 등을 통하여 시설물관리에 효율성을 제공합니다. 또한 시스템활용측면에서 설치가 용이하며, 운영속도가 빠르고 다양한 운영체제를 지원합니다. 컴포넌트기반 패키지를 통하여 향후 커스터마이징 및 추가개발 시 솔루션을 제공합니다",,,,,"(박상욱), 서연규, 김선주, 남기현"
326,06-0072,2006.05.12,㈜누리비젼,마음메일 스팸차단 게이트웨이 v2.2,-,GS-05-385,보안용 SW-스팸및악성코드차단,"마음메일 스팸차단 게이트웨이는 ‘송신자 자가인증기술’이란 신기술을 바탕으로 스팸차단율을 자랑하는 기업용 소프트웨어입니다. 이미 한국, 대만 특허를 획득한바있고, 04/05년 행정업무용 소프트웨어 선정, 정보통신우수신기술 선정 등으로 이미 검증받은바있으며, 광주광역시청, 목포시청 등 지자체, 한국도로공사, 한국공항공사 등 공기관, 대우증권, 증권예탁원등의 금융권, LG텔레콤, 삼일회계법인 등 일반기업등에서 현재 사용중에 있습니다.",,,,,"김지현, 유재현"
327,"07-0200
(06-0073)",2006.05.12,"㈜이아이지
(구:㈜웹소프트)",에듀도움방 v2.0,-,GS-05-386,교육용 SW-온라인(e-learning)교수학습,에듀도움방은 교수-학습 정보 전달을 목적으로 사이트를 구축되는 솔루션 패키지 제품으로써 학교서 발생하는 각종 콘텐츠들을 구성원들에게 서비스하고 또한 쉽게 관리할 수 있도록 설계되었습니다.,,,,,"박정환, 김명규"
328,06-0074,2006.05.24,㈜디프소프트,WBlock v4.0,-,GS-05-105,보안용 SW-스팸및악성코드차단,"대량으로 발송되어 오는 SPAM MAIL과 Virus Mail을 동시에 차단 할 수 있는 서버기반 프로그램으로, SPAM Mail로 인해 발생하는 Mail Server 자원의 낭비, 메일 서비스 사용자의 정신적/물질적 피해 등의 문제를 효율적으로 관리하고, Virus에 대한 철저한 검색을 통하여 Virus에 감염된 메일을 치료 또는 삭제하여 메일 서버를 보호하며 효율성을 극대화함으로써 사용자에게 정상적이며 보다 안정적인 메일 서비스를 가능하게 하는 솔루션",,,,,박상욱
329,06-0075,2006.05.24,㈜컴스퀘어,Trustform System v4.0,-,GS-05-183,프로그램개발 관련 SW-프로그램개발지원,웹 기반의 UI를 담당하는 TrustForm UI와 완벽한 연동을 지원하는 리포팅 툴 ,,,,,서연규
330,06-0076,2006.05.24,"주식회사 셀바스에이아이
SELVAS AI Inc
(구: ㈜디오텍)
(구:㈜에이치씨아이랩)",PowerTTS-S v2.0,-,GS-05-336,디지털콘텐츠 SW-디지털음성처리,"정보의 내용이 계속 변화하는 증권, 기상, 뉴스, e-mail reader 등의 음성 정보 제공 서비스 솔루션 PC, PDA, Mobile phone, 등의 다양한 플랫폼에서 사용될 수 있는데, 우선 통신 분야에서 보면 전자우편, 문자 메시지 등을 읽어주는 UMS(Unified Messaging System)에서 응용되고 있고, 정보검색 분야에서는 웹문서, DB 검색결과, 시스템 메시지 등을 음성으로 출력하는 음성 브라우징이 있습니다. 교육분야에서는 음성 인식과 결합된 외국어 교육 시스템과 음성대화를 통해 진행하는 대화형 교육시스템 등에 사용 될 수 있습니다.",,,,,이상복
331,06-0077,2006.05.24,㈜엠지시스템,EDCM v2.0,-,GS-05-337,유틸리티 SW-형상관리,"SW 개발 중 발생하는 각종 산출물(문서, 프로그램 등)의 형상을 관리하고 통제 컴포넌트 재사용기술 기반의 Workflow, Project 관리,컴포넌트 관리 시스템을 통합하여 개발 조직 전반의 업무흐름을 표준화하여개발 생산성과 효율성을 향상시키는 전산자원 통합관리 솔루션",,,,,구자경
332,06-0078,2006.05.24,"㈜셀바스에이아이
(구:㈜디오텍)
(구:㈜에이치씨아이랩)",PowerASR-S v2.0,1등급,GS-05-343,바이오매트릭스 SW-음성 인식,"사람의 말을 컴퓨터가 이해할 수 있도록 문자나 기호의 형태로 변환해 인터페이스 기술입니다. 음성검출, 특징추출, 음향모델, 탐색, 후처리로 이어지는 음성인식 전 과정의 핵심 구성 요소들이 모두 독자적으로 개발되었으며, 특히 우리말의 특성과 우리나라 사람들의 발성 습관을 반영하여 높은 인식률을 자랑합니다.
 인터넷 보이스 포탈, 콜센터를 활용한 텔레마케팅과 예약/안내 및 정보제공 서비스, 금융 서비스등과 같은 대용량 서비스에도 쓰일 수 있으며, Car Navigation, 음성 브라우징과 같은 PC용 어플리케이션과 임베디드에도 활용될 수 있습니다.",,,,,김선주
333,06-0079,2006.05.24,㈜솔리데오시스템즈,ArchiHARD V1.0,-,GS-05-371,웹서비스용 SW-웹하드,"ArchiHARD는 지금까지의 공간 임대방식의 웹 디스크 서비스 개념에서 탈피, 공공기관 또는 민간기업이 구축하여 운영중인 서버에 직접 설치하여 기간과 용량에 제한 없이 사용하는 웹 디스크 솔루션 ",,,,,김기두
334,06-0080,2006.05.24,㈜이지스,"XDWORLD BUILDER PROFESSIONAL v1.0
(서비스 중지)",-,GS-06-022,GIS SW-기타,"전국단위의 2차원 GIS DATA, TERA Byte 규모의 위성사진을 활용한 3차원 공간 DATA 생성 시스템으로 위성, 항공사진과 연계한 3차원 실좌표 지형 및 시설물을 관리할 수 있는 대용량 3차원 GIS 관리 시스템",,,,,이상복
335,06-0081,2006.05.24,㈜한맥아이피에스,주차요금 정산 프로그램 HS-7100  v1.0,1등급,GS-06-158,임베디드 SW-교통및주차관리,"주차요금의 자동정산 및 수동정산, 근무교대, 부스 장비설정, 시간설정, 정산보고서, 공지사항 조회, 정기권 입/출차 표시등의 클라이언트와 요금관리, 사업자정보, 근무자관리, 공휴일관리, 일반권 및 정기권 마감내역 조회, 근무내역조회, 공지사항 관리 등 서버에서 관리되도록 설계된 주차관리 시스템이다.",,,,,김경
336,06-0082,2006.06.02,"㈜온더아이티
ONTHEIT Co., Ltd.",KnowledgePlus v5.0,1등급,GS-05-354,기업용 SW-기업포털(EIP),"닷넷(.NET) 기반으로 기업 내•외부에 분산되어 있는 정보와 지식의 통합을 지원하기 위한 지식관리포탈 솔루션이다. 
탭/포탈페이지/포틀릿으로 구성된 포탈 화면을 제공하는 지식포탈 구축(Portal Builder) 기능 
캐비닛 및 지식맵 등의 지식저장고 구축(Cabinet Builder) 기능 
커뮤니티 생성 및 관리 기능 
사용자/그룹, 보안등급 및 시스템 코드 관리 기능 
개인 포탈 설정 및 북마크 추가 기능 ",,,,,"배정현, 남재희"
337,06-0083,2006.06.02,㈜사이버다임(구:㈜보광사이버다임),Destiny EDM:IV,1등급,GS-05-365,기업용 SW-기타,"㈜사이버다임의 Destiny EDM:IV은 순수 Servlet & JSP로 개발된 웹 기반의 전자문서관리시스템 따라서, 언제, 어디서나, 하드웨어 플랫폼이나 운영체제의 제약 없이 어떠한 웹 브라우저에서도 원하는 문서에 접근할 수 있게 합니다. 특히, 프로그램의 설치와 유지보수가 용이하고 기업 전산환경 구축에 획기적인 비용절감을 가져올 수 있는 저렴한 씬 클라이언트(Thin Client)를 지원합니다. Destiny EDM:IV은 인터넷/인트라넷 환경을 완벽히 지원하면서도 어떠한 문서관리 기능상의 제약도 받지 않습니다.",,,,,"차순일, 김태헌"
338,06-0084,2006.06.02,포엠인포텍㈜,"탐스 v2.0
(TAMS v2.0)",1등급,GS-05-393,기업용 SW-기타,유형고정자산관리 프로그램으로 주로 그룹 내 유형자산관리 및 자산실사를 위해 사용됩니다.,,,,,"서연규, 김필수"
339,06-0085,2006.06.02,㈜마크애니,"이페이지세이퍼 V2.1
(e-Page SAFER V2.1)
(구: e-PageSafer v2.1)",1등급,GS-06-035,보안용 SW-디지털콘텐츠보안,"문서 위/변조방지 솔루션(e-PageSAFER)은 기존의 오프라인으로 발급하던 각종 증명서를 온라인으로 발급할 수 있는 법적, 기술적 장치를 마련함으로써 각종 제 증명 발급의 절차를 간소화 하여 발급업무의 효율성을 증대시키고 서비스를 이용하는 사용자의 편리를 도모할 수 있습니다. 이는 다양한 온/오프라인상의 위변조 위험으로부터 안전하게 증명서를 발급하기 위하여 고밀도 2차원 바코드, 및 복사방지 마크, 전자서명 등을 통하여 문서의 무결성을 보장함으로 안전한 인터넷 제증명서 발급 기능 ",,,,,"장세헌, 강수일"
